date,state,fips,cases,deaths,Inpatient Beds Occupied Estimated,Count LL_inpatient beds occupied,Count UL_inpatient beds occupied,Percentage of Inpatient Beds Occupied Estimated,Percentage LL_inpatient beds occupied,Percentage UL_inpatient beds occupied,Total Inpatient Beds_x,Total LL_inpatient beds occupied,Total UL_inpatient beds occupied,geocoded_state_x,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL_occupied by COVID-19 patients,Count UL_occupied by COVID-19 patients,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL_occupied by COVID-19 patients,Percentage UL_occupied by COVID-19 patients,Total Inpatient Beds_y,Total LL_occupied by COVID-19 patients,Total UL_occupied by COVID-19 patients,geocoded_state_y,Staffed Adult ICU Beds Occupied Estimated,Count LL_ICU Beds Occupied,Count UL_ICU Beds Occupied,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL_ICU Beds Occupied,Percentage UL_ICU Beds Occupied,Total Staffed Adult ICU Beds,Total LL_ICU Beds Occupied,Total UL_ICU Beds Occupied,geocoded_state
2021-04-08,GA,13,1045930,18780,14699,14466,14932,77.23,76.95,77.51,19362,19342,19382,POINT (-83.426574 32.638481),1420,1420,1420,7.33,7.28,7.39,19362,19342,19382,POINT (-83.426574 32.638481),2172,2170,2175,77.9,77.68,78.11,2789,2787,2791,POINT (-83.426574 32.638481)
2021-04-08,HI,15,30673,467,1726,1726,1726,69.51,69.51,69.51,2483,2483,2483,POINT (-157.854309 21.361013),57,57,57,2.3,2.3,2.3,2483,2483,2483,POINT (-157.854309 21.361013),133,132,134,60.18,60.18,60.18,221,221,221,POINT (-157.854309 21.361013)
2021-04-08,ID,16,182951,1991,1824,1824,1824,56.7,56.7,56.7,3217,3217,3217,POINT (-114.659366 44.389073),163,163,163,5.07,5.07,5.07,3217,3217,3217,POINT (-114.659366 44.389073),208,208,208,68.87,68.87,68.87,302,302,302,POINT (-114.659366 44.389073)
2021-04-08,IL,17,1272932,23740,20137,20137,20137,70.28,70.28,70.28,28653,28653,28653,POINT (-89.148632 40.124144),1818,1817,1819,6.34,6.34,6.34,28653,28653,28653,POINT (-89.148632 40.124144),2211,2211,2211,64.65,64.65,64.65,3420,3420,3420,POINT (-89.148632 40.124144)
2021-04-08,IN,18,698132,13114,10759,10759,10759,63.7,63.7,63.7,16889,16889,16889,POINT (-86.2818 39.919991),774,772,775,4.58,4.58,4.58,16889,16889,16889,POINT (-86.2818 39.919991),1496,1494,1499,67.84,67.5,68.18,2206,2203,2209,POINT (-86.2818 39.919991)
2021-04-08,IA,19,355454,5843,4915,4912,4918,64.01,64.01,64.01,7679,7679,7679,POINT (-93.500061 42.074659),229,229,229,3.02,3.02,3.02,7679,7679,7679,POINT (-93.500061 42.074659),469,469,469,70.31,70.31,70.31,667,667,667,POINT (-93.500061 42.074659)
2021-04-08,KS,20,306099,4932,4554,4552,4557,58.29,58.29,58.29,7814,7814,7814,POINT (-98.38018 38.484729),176,175,176,2.25,2.25,2.25,7814,7814,7814,POINT (-98.38018 38.484729),573,573,573,72.72,72.72,72.72,788,788,788,POINT (-98.38018 38.484729)
2021-04-08,KY,21,434897,6314,7260,7255,7266,59.01,59.01,59.01,12304,12304,12304,POINT (-85.290484 37.526683),402,401,402,3.26,3.26,3.26,12304,12304,12304,POINT (-85.290484 37.526683),1047,1047,1047,59.52,59.52,59.52,1759,1759,1759,POINT (-85.290484 37.526683)
2021-04-08,LA,22,448104,10200,8455,8455,8455,67.48,67.48,67.48,12530,12530,12530,POINT (-91.840238 30.921314),247,246,248,2.0,2.0,2.0,12530,12530,12530,POINT (-91.840238 30.921314),1126,1126,1126,64.45,64.45,64.45,1747,1747,1747,POINT (-91.840238 30.921314)
2021-04-08,ME,23,52996,748,1994,1994,1994,69.43,69.43,69.43,2872,2872,2872,POINT (-69.06137 45.117911),91,91,91,3.17,3.17,3.17,2872,2872,2872,POINT (-69.06137 45.117911),227,227,227,71.38,71.38,71.38,318,318,318,POINT (-69.06137 45.117911)
